submission_id,where_drink
kYRBQe,"At home, At the office"
24xGVD,At home
VZ1O46,"At the office, At home, At a cafe"
PABJee,"At home, At a cafe"
eBxWYQ,"At the office, At home"
qbE1NO,At home
oAVLaP,At home
LdMLgl,"At home, At the office, At a cafe"
ylq5zd,"At home, At a cafe"
NAB1EO,At home
7d9rj0,"At a cafe, At home"
ZdRrKB,At home
xdN56d,At home
rlrMg2,At home
qbE1pg,At home
pLPpXJ,"At home, At a cafe"
xdN5vk,"At home, On the go"
vNx5a0,"At the office, At a cafe, At home"
LdML6J,At home
bl4QML,At home
6dQEyJ,"At home, At a cafe"
xdN5L5,At home
OABMra,At home
jB9AgQ,At home
EPb7AB,"At home, On the go, At a cafe, At the office"
GrBAQO,At home
lNlk9v,At home
eBxWox,At home
VZ1OyM,At the office
KMBKNV,At home
OABMyY,At home
WApVjR,At home
OABMKR,"At home, At the office"
YZzlyW,At home
BGbWVK,"At the office, At home, On the go, At a cafe"
XeBPyL,"At home, At the office, On the go"
VZ1OBg,At home
1r2ox1,"At home, On the go"
LdMLVl,"At home, At a cafe"
oAVLQO,At home
pLPpNJ,None of these
eBxWPk,"At home, At the office"
VZ1Oxj,At home
zKQ54R,"At the office, At home"
Albeyl,"At home, At the office"
eBxWyl,At home
rlrM1R,At home
24xGZD,"At home, At a cafe"
VZ1Oyy,"At home, At a cafe"
XeBPdg,"At the office, At home"
rlrMRN,At home
6dQEGk,At home
EPb7YB,At home
7d9rEa,At home
ylq5Rx,"On the go, At home, At the office"
MAdpgk,At home
g5N6vJ,"At home, At a cafe"
0EjRlB,"At home, At the office"
9dJjPQ,"At home, At the office, At a cafe"
AlbeND,At home
OABMkM,At home
zKQ5dk,At home
7d9rgR,"At home, At the office"
vNx5pl,"At a cafe, At home"
EPb7e4,"At home, At a cafe"
DVv6PZ,"At home, At a cafe"
MAdpPk,"At the office, At home"
ylq5rg,"At the office, At home"
24xG7M,"On the go, At home"
bl4Qz6,At home
6dQE9Y,"At the office, At home, On the go"
eBxWvQ,"At home, On the go"
ZdRrXo,At home
24xGy9,"At home, On the go"
xdN57r,"At home, At the office"
lNlkXk,At home
9dJjyV,"At home, At the office"
RzBy19,At home
J2kvgK,At home
J2kvbo,"At the office, At home"
DVv6ZE,"At home, At a cafe, On the go, At the office"
aBrq1B,"At home, At the office, At a cafe"
XeBPvY,At home
ZdRrAo,"At home, At the office"
NAB1O0,At home
J2kvBr,"At home, At a cafe"
ylq5px,At home
KMBKRg,At home
OABMyg,At home
oAVLax,"At home, At the office"
VZ1OXg,"At home, At the office"
WApVdv,"At the office, At home"
aBrqXB,At home
EPb7rr,"On the go, At home"
NAB1gO,At home
XeBPkY,"At the office, At home, On the go"
vNx5Wg,"At home, At the office, On the go"
LdMLOy,At home
aBrqa2,At home
WApVXN,At home
OABMeg,"On the go, At home, At the office"
NAB1xl,"At home, At the office"
dY2ekV,At home
LdMLBv,"At home, On the go, At a cafe"
Albe0e,"At a cafe, At home"
eBxW8e,At home
8dp4V5,"At home, At the office"
1r2ozp,"At the office, At home, At a cafe"
DVv6al,At home
QABl4Y,"At home, At a cafe"
DVv6EZ,At home
J2kvxR,"At home, At the office"
eBxWGe,At home
KMBKA8,"At home, At the office"
DVv6Wl,"At home, At a cafe, On the go"
QABlyG,At home
pLPp58,"At home, At a cafe"
VZ1Oqj,At home
XeBPNP,At home
jB9Aq4,"At home, At a cafe"
qbE1M9,"At the office, At home"
5dqPON,At home
rlrMW2,At home
dY2ezr,"At home, On the go"
oAVLgb,At home
GrBAaZ,"At home, At the office, At a cafe"
7d9rOZ,At home
kYRB1e,At home
24xGzj,At the office
XeBPQP,"At home, At the office"
9dJj4E,"At the office, At a cafe, At home, On the go"
MAdpqA,At home
AlbeOz,"At home, At a cafe"
NAB1Qj,"At the office, At home"
GrBA5O,"At home, At the office"
24xGYj,"On the go, At home"
kYRBXR,At home
WApV6N,"On the go, At home, At the office, At a cafe"
dY2eXo,At home
QABlp7,At home
ylq5GX,At home
EPb7Al,"At home, At a cafe"
42NVEA,At home
aBrqgb,At home
42NVYX,"At the office, At home"
oAVL1x,"At home, At a cafe, At the office"
KMBKZV,At home
1r2oyl,"At home, At the office"
42NVEr,"At the office, At home"
g5N614,"At home, At the office"
0EjRyj,"At home, On the go, At the office, At a cafe"
6dQEzJ,"At the office, At home"
jB9Ara,At a cafe
dY2e4K,At a cafe
zKQ5vM,At home
YZzlgW,At home
pLPpZ1,"At a cafe, At home"
J2kvro,At home
xdN5B5,At home
rlrMp2,At home
QABlWG,"At home, At the office"
vNx5d4,"At home, At a cafe"
jB9AzQ,"At home, On the go, At the office"
MAdp2M,"On the go, At home"
7d9rYZ,At home
g5N6XO,"At home, On the go"
PABJr1,"At the office, At home"
RzByg4,At home
MAdpGl,"At home, At the office"
g5N6rD,At home
RzByaj,"At home, At the office"
PABJLV,At home
GrBA4k,"On the go, At a cafe, At home"
zKQ5o0,"At the office, At home, At a cafe"
dY2eyA,At home
GrBAOp,"At the office, At home, At a cafe"
qbE1QY,At home
9dJj0p,At the office
EPb77N,"At home, At the office"
YZzlbB,"At home, At the office"
Albeek,"At home, At the office"
WApV7a,"At home, On the go"
kYRBPM,"At home, At a cafe"
GrBAAo,"At home, At the office"
rlrMMl,"At the office, On the go"
VZ1Oag,"At the office, At home"
5dqPa6,"At the office, On the go, At home"
J2kvj4,"At home, At a cafe"
XeBPAj,"On the go, At home"
24xGdL,"At home, At the office"
qbE117,At home
42NVVk,"At the office, At home"
5dqPYo,"At home, At the office"
J2kv4d,At home
EPb7VX,At home
LdMLxj,"At home, On the go"
1r2o0Q,At home
bl4QJo,At home
42NV6b,"At home, At the office"
aBrqJv,At home
OABMM7,At home
42NVMb,At home
WApVaj,At home
RzByQ9,"At the office, On the go, At home"
OABMM8,"At home, At a cafe"
42NVlk,At home
XeBP6j,"At the office, At home"
WApVLJ,"At the office, At a cafe"
eBxWWO,At home
PABJqb,"At the office, At home, On the go"
6dQEBB,"At the office, At home"
GrBAEp,"At home, At the office"
xdN5qo,"At the office, At home"
g5N6VO,At the office
eBxWXO,At the office
KMBKj7,At home
5dqP06,"At home, At the office, On the go, At a cafe"
zKQ58a,At home
EPb7RN,At home
DVv685,At home
RzByed,"At home, At the office"
oAVLjV,At home
dY2ery,At home
pLPp2b,At home
QABlN8,At home
GrBAZj,At home
YZzl75,At home
ylq58B,At the office
ylq5AB,At the office
AlbeR0,"At home, At a cafe"
dY2eoo,"At the office, At home"
YZzlAd,"At home, At a cafe"
NAB1NB,At home
aBrqR9,At the office
LdMLr1,"At the office, At a cafe, At home, On the go"
zKQ5k1,"At home, At the office"
42NVbO,At home
oAVLJ1,"At a cafe, At home"
jB9AN6,"At the office, At home"
qbE1l7,"At home, At a cafe"
42NV0X,At home
7d9rrA,"At home, At the office"
5dqPNM,"At home, At a cafe"
ZdRrbz,"At home, At the office"
vNx5RA,"At home, At a cafe, On the go, At the office"
0EjRqN,"At home, At a cafe"
vNx59Q,"At home, On the go"
EPb72o,"On the go, At a cafe"
dY2eJq,"At home, At a cafe"
g5N6od,At home
PABJxb,"At home, On the go, At a cafe"
6dQEEB,"At home, At a cafe"
6dQE6P,"At home, At the office, On the go"
pLPpYq,At home
RzByyJ,At home
XeBP7g,"At home, At the office"
rlrM8l,"At home, On the go"
RzByqd,At home
9dJjKY,"At the office, At home"
RzByNl,None of these
VZ1O7J,At home
vNx5kd,At home
8dp4DO,At home
7d9rkA,"At home, On the go"
GrBAAp,At home
rlrMQN,At home
GrBAW2,"At home, At the office"
6dQEqe,"At home, At the office, At a cafe"
RzBypp,"At home, At a cafe"
zKQ5AR,At the office
eBxWg0,At home
jB9AAx,At a cafe
oAVLLV,None of these
YZzl6d,"At the office, At home, On the go, At a cafe"
g5N6EN,None of these
xdN5AG,"At a cafe, On the go, At the office"
lNlkp5,"At a cafe, At home"
ZdRrBy,At home
YZzl2q,"At home, At the office, At a cafe, On the go"
rlrM75,"At home, At a cafe"
zKQ5Ba,"At home, On the go"
0EjRX0,"At home, At a cafe"
VZ1OgE,"On the go, At the office, At a cafe, At home"
9dJjjY,"At home, On the go, At a cafe"
J2kvE4,"At home, At the office"
rlrM4M,"At home, At the office"
1r2oLM,At home
8dp4Bx,"At home, At the office"
jB9A4a,At home
42NVVO,At home
bl4QRg,"On the go, At home, At the office, At a cafe"
pLPpqq,At home
AlbeXk,"At home, At the office, On the go"
42NV6O,At home
GrBAM2,"At home, At the office"
LdML4j,At a cafe
42NVeB,At home
QABllp,"At home, On the go, At the office, At a cafe"
RzByNJ,At home
oAVLP1,At home
kYRBj1,At home
EPb79q,"At home, At the office"
aBrqMq,"At home, At a cafe"
GrBAVZ,At home
5dqP7d,At home
kYRBL6,"At the office, At home, At a cafe, On the go"
DVv6oR,"At home, At a cafe"
GrBAGj,"At home, At the office"
24xG9L,At home
lNlkGW,"At home, At the office"
vNx58v,"At a cafe, At home, On the go"
g5N6BN,At a cafe
OABMRK,"At home, At the office, On the go"
eBxWVq,At home
g5N621,"At home, At the office"
5dqPJM,At home
7d9ryL,"At the office, At home"
aBrq7E,At home
XeBPa4,At home
kYRBqJ,At home
24xGGL,"At home, At a cafe"
aBrqqq,At home
VZ1O6v,"At home, On the go"
jB9AjR,"At home, On the go"
AlbeM0,"At home, At a cafe, At the office, On the go"
NAB1ZQ,"At home, At the office"
xdN5GG,"At the office, At home"
oAVLJX,None of these
lNlkx5,At home
ZdRrqa,At home
OABM28,"At home, At the office, On the go"
xdN5by,"At the office, At home"
ylq5Lp,At home
0EjR96,At home
dY2eMA,At home
jB9A4x,At home
42NV5B,At home
oAVLZP,At home
EPb77X,"At home, At the office"
pLPpQV,"At home, At a cafe"
OABMq7,"On the go, At home, At the office, At a cafe"
PABJJ5,At home
1r2oQQ,At home
6dQEoO,"At the office, At home"
24xG6V,"At home, On the go"
lNlkkB,At home
oAVL8e,"At home, At a cafe"
rlrMz5,"At home, At the office"
42NV0k,"At home, At a cafe"
MAdpZp,"At home, At a cafe, On the go"
eBxW4E,At home
rlrM4v,At home
OABMx7,"At home, At the office"
OABMZR,"At home, At the office"
GrBAPo,At home
PABJxQ,At home
jB9AKR,At home
QABl98,At home
xdN55y,"At home, At a cafe"
lNlk8B,At home
NAB1kW,At the office
PABJQ5,"At home, At a cafe"
dY2eOz,"At home, At the office"
LdML8G,At home
ylq5O0,"At home, At the office"
9dJjAp,"At home, At a cafe"
NAB1GW,At home
GrBAGo,At home
7d9rG9,"At the office, At home, At a cafe"
24xGWV,At home
5dqPRP,At home
KMBK9M,At home
kYRB26,"At home, At the office"
ZdRrry,"At home, At a cafe"
g5N6ld,"At home, At the office"
DVv6Qj,At home
aBrqW9,"At home, At the office, At a cafe"
MAdpxX,"At home, At the office"
rlrM9l,"At home, At the office"
7d9r0P,"On the go, At a cafe, At home"
BGbWRN,"At home, On the go"
BGbWNA,At home
xdN5Wo,"At home, At the office, On the go, At a cafe"
9dJjb1,At home
bl4Q1g,At home
9dJjeG,"At home, On the go"
J2kvPd,"At home, At a cafe"
EPb7oX,"At home, At the office"
RzByAl,At home
PABJKd,At home
42NVZb,"On the go, At the office, At a cafe, At home"
QABlZg,At home
kYRBBM,At home
qbE1r2,At a cafe
vNx55Q,"At home, At the office"
YZzll5,"At home, At a cafe"
QABlQp,"At home, At a cafe"
jB9ARE,"At home, At the office"
EPb7Ro,At home
9dJjz4,At home
qbElL5,"At home, At the office"
RzBy7P,On the go
pLPpjE,At home
jB9AO6,At home
BGbWMA,"At home, At the office"
dY2yqN,
ylqaNd,"At home, On the go, At a cafe"
zKQ5P8,At home
24xGqb,"At the office, At home"
MAdpog,"At the office, At a cafe, At home, On the go"
YZzAPv,At the office
NAB1Kb,"At the office, At home"
qbE1xk,At a cafe
PABqjP,"At home, At the office"
rlrMx5,At home
oAVj6M,"At home, At the office, At a cafe, On the go"
rlrZ5X,At home
OABN4a,At home
aBrMNW,At home
ZdRrpv,At home
VZ16zj,"At home, At the office"
0EjWQP,At home
24x6Eg,At home
zKQ6jg,"At home, On the go"
24x6XM,"At home, At the office"
5dqAXv,"At home, At a cafe"
bl4Jq7,"At a cafe, At home"
OABMpA,At home
qbElGO,"At home, At the office, At a cafe"
WAp79L,At home
PABq11,At home
eBxWdo,At home
QABlgk,At home
NABZrp,At home
8dp4vo,"At home, At the office, At a cafe"
oAVL4M,At home
8dplLl,At home
MAdxD8,At home
VZ16pN,"At home, On the go, At a cafe, At the office"
jB9VDY,At home
bl4J97,At home
zKQ6xZ,At a cafe
6dQEb5,At home
0EjWrQ,At home
ZdRBOV,"At home, On the go"
MAdxeE,At home
VZ16p6,At home
lNlEBX,"At the office, On the go, At home, At a cafe"
dY2eLN,At home
rlrZOo,"At home, At the office"
Albe1W,At home
1r2o1L,"At home, At a cafe"
VZ16G6,"At home, At the office"
zKQ6YM,"At a cafe, At home"
BGbRde,"At home, At the office"
rlrMNL,"At home, At a cafe"
LdMLA2,"At home, At the office"
42NbKA,"On the go, At home, At a cafe"
lNlEbV,At home
pLP2rP,At home
DVv6rp,At home
lNlko6,At home
eBxW1o,"At home, On the go, At the office, At a cafe"
VZ16El,"At home, At a cafe"
BGbWPY,"At home, At a cafe"
AlbX7o,At home
oAVLrM,"On the go, At home, At a cafe, At the office"
1r2aW4,"At home, At a cafe"
RzB9Kv,At home
5dqAzE,"At home, At a cafe"
1r2oqO,At home
42NbKr,"At home, At the office, On the go"
24x6PD,At home
OABNlM,"At home, At the office"
8dp47Y,"At home, At a cafe"
RzB9WQ,At home
jB9VZ1,"At home, At a cafe"
oAVj2b,"At the office, On the go, At home, At a cafe"
jB9VlQ,"At home, At a cafe"
GrBA2z,"At home, On the go"
9dJKQ5,At home
aBrMdX,At home
EPbOWB,"At home, At a cafe"
OABNQk,At home
dY2yEV,At home
vNx9Yl,"At home, At the office"
dY2yWD,"At home, At a cafe"
bl4J50,"At home, At a cafe"
WAp7OL,"At the office, At home"
zKQ6yk,"At home, At a cafe, At the office"
DVvGKE,At home
MAdxRk,"At home, On the go"
YZzlN6,"On the go, At home, At a cafe"
zKQ6Ng,"At home, At a cafe"
pLP2ey,At home
KMBjeD,"At home, At the office, At a cafe, On the go"
KMBjzD,At a cafe
5dqAKb,"At home, At the office"
vNx9eg,"At home, At the office, On the go"
aBrM4Z,"At home, At the office"
EPb74L,"At home, At the office"
kYRPbd,At home
PABq91,At home
RzB9oK,"At home, At a cafe"
jB9Vb1,"On the go, At the office, At home"
qbE12k,At home
J2k4dX,"At the office, At home"
zKQ6DM,At home
7d9kl6,"At home, At the office"
8dplQz,At home
QABQeY,None of these
6dQB8o,"At the office, At home, On the go"
MAdxEk,"At home, At a cafe"
6dQB7J,On the go
9dJK9E,At home
XeBb0L,At home
AlbX2y,At home
QABQ5G,"At home, At a cafe"
GrBPdk,"At home, At a cafe"
kYRPEo,"At home, At a cafe"
VZ165y,At home
7d9kWR,At home
xdNWMd,"At home, At a cafe, On the go"
24x6jM,On the go
DVvGkl,"At home, At a cafe"
7d9kx0,At home
aBrMYb,"On the go, At the office"
XeBboP,"On the go, At the office, At home"
oAVj9N,At home
lNlEeo,At home
LdM2zJ,At home
YZzARv,At home
bl4Je6,"At the office, On the go"
lNlEOo,At the office
rlrZDX,"At the office, At home"
g5NoGD,"At home, At the office"
vNx9Dg,At home
dY2yar,"At a cafe, On the go, At home, At the office"
PABqj0,"At home, At the office, On the go"
42Nb7r,At home
VZ16zM,At home
8dplzr,At the office
g5N6RK,"At home, At a cafe"
EPbO52,At home
g5NoqP,"At the office, At home, At a cafe, On the go"
KMBj1X,"At home, At the office"
jB9VQJ,"At home, On the go, At the office, At a cafe"
24xGMA,At a cafe
6dQBLN,At home
xdNWav,At home
ylqaYX,"At home, At a cafe"
KMBjVX,"At home, On the go, At the office, At a cafe"
8dplKP,"At the office, At home"
oAVjb5,"At home, At the office"
rlrZao,At home
EPbOQr,At home
OABN1k,"At the office, At home"
WAp75v,At home
QABQVX,"At home, At the office"
OABMOp,"At home, At the office"
VZ1ORl,At home
oAVj65,"At home, On the go, At a cafe"
YZzlE0,At home
aBrMQW,At a cafe
rlrZA2,At home
ylqa28,At home
OABNQM,"At the office, At home, At a cafe"
6dQBjA,"At home, At the office"
BGbRxR,At home
xdNWDd,"On the go, At home"
pLPplE,At the office
eBxXZJ,"At home, At a cafe"
BGbR7R,"At home, At the office"
EPbOxB,"At the office, At home, On the go"
qbElA9,"At the office, At home"
0EjW6B,"At home, At the office, At a cafe"
xdNWx9,"At home, At a cafe, At the office, On the go"
PABJad,"At home, At a cafe"
BGbRpe,At home
WAp7Ee,At home
DVvGdN,At home
EPbOqA,"At the office, At home, On the go"
42NbXo,"At home, At the office, At a cafe, On the go"
qbElDO,"On the go, At home, At a cafe, At the office"
kYRBDj,At home
lNlkJp,At home
24x68b,At home
VZ16j6,At home
1r2aA4,At home
xdNWa5,"At the office, At home, On the go, At a cafe"
8dplNk,"On the go, At home, At the office"
BGbRXK,At home
J2k4AK,At home
NABZWj,"At home, At a cafe"
1r2a91,"On the go, At the office"
42NbB5,"At home, On the go"
aBrM5Z,"At home, At a cafe, At the office"
0EjRN0,At home
oAVjDN,"At home, At the office"
pLP2dP,At home
VZ16Qj,At home
PABJa0,"At home, At the office"
g5N6yK,"At home, At the office"
NABZl0,At home
AlbXve,At home
GrBP6O,"At home, At the office, On the go, At a cafe"
NABZoO,"At the office, On the go, At home, At a cafe"
KMBj5g,At home
lNlErN,"At home, At the office, At a cafe"
42NbxA,"At home, On the go"
OABN7a,On the go
DVvGBE,"At home, On the go"
LdMLRO,"At the office, On the go, At a cafe"
6dQBeN,At home
5dqPWP,At home
ZdRBEV,At home
8dploo,None of these
0EjW7A,At home
0EjWOB,At home
xdNWJd,At home
dY2yNV,"At the office, On the go, At home, At a cafe"
0EjR2Q,At a cafe
qbEla5,At home
YZzAaW,"At home, At a cafe"
AlbXlz,
OABNAg,At home
NABZVl,At home
0EjWj6,"At home, At a cafe, At the office"
24x649,"At home, At a cafe"
dY2yYK,"At home, On the go"
0EjWLN,At home
DVvGNZ,At home
MAdx5M,"At home, At a cafe, At the office"
zKQ6eR,At home
NABZ0l,"At the office, At home"
vNx920,At home
RzB9zj,At home
EPbOJX,"At home, At a cafe"
oAVjvM,
9dJK1Q,"At the office, At home, At a cafe"
EPbOPr,"At home, At the office"
J2k42R,At the office
ylqaq4,"At home, At a cafe"
8dplpx,At home
rlrZLl,"At home, At the office"
eBxX20,At home
DVvGDq,At home
42NboO,At the office
dY2yPo,"At home, At the office"
GrBPJo,"On the go, At home, At a cafe"
zKQ6W1,"At the office, At home, At a cafe"
EPbOJN,"At home, At the office, At a cafe"
eBxXL0,"On the go, At home"
EPbO04,At home
PABql5,"At the office, At home"
1r2aEp,"At the office, At home"
1r2avQ,At home
aBrMrq,At home
5dqAEM,At home
rlrZdl,"At home, At the office"
aBrMGB,At the office
kYRP51,At home
PABqX5,"At home, On the go, At the office"
ylqaop,At home
5dqAeP,At home
aBrMK9,At home
aBrMEv,At home
MAdxOM,"At a cafe, At home, On the go"
PABqbd,At a cafe
ZdRBP0,"At the office, At home, At a cafe, On the go"
g5NoJ1,At home
VZ16bE,At home
VZ168g,"At home, At a cafe"
xdNWPy,"At home, At the office"
oAVjyx,"At home, At the office"
ZdRBYz,"At home, At the office"
6dQBOB,At home
QABQr7,"At home, At the office, At a cafe"
aBrM0v,At home
bl4J62,"At home, At a cafe"
ZdRBRy,"At a cafe, At home, On the go"
DVvGJq,At home
42Nb1b,At home
qbElY2,"At a cafe, At home"
ZdRBZa,"On the go, At home"
OABNzg,"On the go, At home"
xdNW0o,At home
xdNWPo,None of these
kYRPZR,At the office
J2k4D4,At home
9dJKo1,At home
kYRPpd,At home
BGbRD5,At home
rlrZlR,At home
AlbXqk,At home
rlrZKN,At home
MAdxAA,At home
AlbXWB,At a cafe
MAdxYp,"At home, At the office"
oAVjKX,At home
rlrZ2M,"At the office, At home"
YZzAx6,"At home, At a cafe"
bl4JY2,"At a cafe, At home, At the office"
OABNdp,At home
oAVjBP,At home
WAp70N,At home
LdM20v,"At home, At the office"
lNlE46,At home
DVvGbX,At home
lNlE0W,At home
KMBj08,"At the office, At home"
jB9VJ6,At home
YZzAVq,"At home, At a cafe"
jB9Vz9,"At the office, At home"
0EjWPy,At home
42NbpB,"At the office, At home, On the go, At a cafe"
42NbGd,At the office
1r2aNO,At home
PABq2b,"On the go, At home, At a cafe, At the office"
NABZBQ,"At a cafe, At home"
NABZLB,At home
lNlENv,At home
WAp7Pj,"At home, At a cafe, On the go, At the office"
rlrZqL,On the go
kYRPxZ,At home
24x6JL,"At home, On the go"
AlbX9N,At a cafe
VZ16Zy,At home
9dJK44,At home
YZzAzd,At home
RzB9gQ,At home
XeBbB4,"At home, On the go, At the office"
24x67A,"At home, At a cafe"
zKQ6G8,At home
qbElE7,"At the office, At home"
PABqGd,At home
qbElN8,At home
9dJKWV,"At home, On the go, At the office"
rlrZgp,"At home, At a cafe"
ylqa04,At home
0EjWZ0,"At home, At the office"
lNlEyv,"On the go, At the office, At home"
g5Nok1,"At home, At the office, At a cafe, On the go"
1r2a6L,"At the office, At home"
g5NoNd,None of these
LdM2qy,At home
DVvGYX,"At the office, On the go, At home"
zKQ6OZ,"At home, At the office"
bl4JE6,At home
xdNWLd,On the go
zKQ6gZ,"At home, At a cafe"
QABQkk,"At the office, At home"
OABNL7,"At home, At the office"
24x6ge,At home
NABZyp,"On the go, At home"
jB9Vk6,None of these
VZ16y6,"At home, At the office, On the go, At a cafe"
pLP24V,"At home, On the go"
6dQBM5,At home
24x6lA,At home
rlrZQo,"At home, At a cafe"
42NbNO,"At the office, At a cafe"
jB9VY1,At home
RzB9kP,None of these
24x67b,"At home, At a cafe"
YZzAZJ,At home
zKQ6Za,"At home, At the office"
g5NogM,"At home, On the go, At the office"
VZ16MJ,"At home, At the office, On the go, At a cafe"
pLP2Pb,At home
LdM2NJ,At home
bl4JOL,At the office
bl4Jy7,"At the office, At home, At a cafe"
NABZv0,"At a cafe, On the go, At home"
42NbLk,"At home, At a cafe"
9dJKvp,"At home, At a cafe"
6dQB4o,At home
kYRPO6,"At the office, At home, At a cafe"
ZdRBy5,"At home, At the office"
oAVj01,At home
AlbX8D,"At home, On the go"
VZ16Mv,"At home, At a cafe"
pLP261,"At home, At the office"
vNx9Vg,"At home, At a cafe"
vNx9K8,At home
qbElBG,"At home, At a cafe, On the go"
7d9kj6,At home
KMBjkK,At home
vNx9z8,At home
zKQ6Ja,At home
AlbXOy,At home
PABqr0,"At home, At a cafe, At the office"
dY2yXr,At home
jB9VrQ,"On the go, At home"
GrBPq2,"At the office, At a cafe, At home"
7d9k52,At home
0EjW5A,"At home, At the office"
KMBjGK,"At home, At the office"
vNx9gX,"At home, At a cafe"
bl4J4o,"At home, At a cafe"
24x6Rb,"At the office, At home, On the go"
dY2ygD,At home
ylqar8,"At home, At the office, On the go"
DVvG9l,"At home, At a cafe"
RzB92v,"On the go, At the office"
jB9V7x,At home
EPbO6L,At the office
jB9VB4,"At home, At a cafe"
xdNWv9,"At home, On the go, At the office"
5dqApP,"At home, At the office, On the go"
LdM2k2,At home
vNx9Lv,At home
zKQ64k,At home
5dqAko,"On the go, At home, At the office"
pLP2zE,"At home, At a cafe"
NABZQp,"At the office, At home"
lNlE5V,At home
VZ16Nl,At home
0EjWyA,At home
EPbOel,"At home, At the office"
OABNKa,At home
8dplAA,"At the office, At home"
oAVjpN,At home
1r2agg,"At home, At the office"
EPbOgA,"At home, At a cafe"
lNlEZX,At home
5dqAgN,At home
RzB9z9,"At a cafe, At home"
5dqADQ,At home
24x6ze,"At home, At a cafe"
jB9V21,"At home, At the office"
0EjWGP,"At home, At a cafe"
aBrMxB,At home
KMBjAg,At home
AlbXGl,At home
9dJKR1,At home
LdM2E1,At home
6dQBzA,At the office
dY2yKz,"At home, On the go, At a cafe, At the office"
MAdxdX,"At home, On the go"
6dQByN,"At home, At a cafe"
dY2y1V,"At home, At a cafe"
42NbAb,At home
rlrZlN,"At home, At the office"
VZ16xN,At home
OABNdK,"At home, On the go, At the office"
VZ16oa,"At home, At a cafe, At the office"
zKQ6zR,"At the office, At home"
NABZJQ,"At home, At the office"
lNlE8N,
PABqqe,"At a cafe, At home"
ylqa8X,"At the office, At home"
KMBj2X,"At home, At the office"
KMBjbA,
kYRP2R,At home
jB9VRa,At home
aBrMLB,At home
YZzAAJ,"At home, At a cafe, On the go"
VZ16Ra,
DVvGGZ,At home
GrBPVL,At home
9dJK05,At home
24x6G9,"At home, At a cafe"
rlrZQ2,"At home, At the office"
YZzA1B,"At a cafe, At home, At the office"
xdNW7d,"At home, At the office, On the go"
ylqaBg,"At home, At a cafe"
jB9V84,"At home, At the office, At a cafe"
vNx95D,At home
LdM22p,"At home, At a cafe"
NABZ2j,At home
RzB9yj,At home
qbElqg,At home
GrBPPk,At home
DVvGQq,At home
EPbOpX,At home
6dQBgk,At home
VZ16Wy,"At home, On the go, At a cafe"
GrBP8o,"At a cafe, At home"
MAdxWM,"At a cafe, At home"
J2k4Po,"At home, At a cafe"
GrBP2o,None of these
1r2a1W,"At home, At a cafe"
AlbXXz,At home
lNlExk,"At home, At the office"
EPbRko,At home
g5NoBl,"At a cafe, At home"
LdM2A1,At home
24x6QL,"On the go, At a cafe"
bl4pZ2,At home
oAVj4V,"At home, At a cafe"
QABQ6p,"At a cafe, At home, On the go"
XeBbbY,"At home, At the office, On the go"
KMBjKV,"At a cafe, At the office, On the go, At home"
24x62j,"At home, At the office"
oAVjrV,At home
aBrMWv,"At the office, At home"
9dJK8Q,"At home, At the office"
rlrZZR,At home
pLP2pB,At the office
24x6qV,"At home, At the office"
EPbRKq,At home
KMBEYM,"At the office, At home"
qbElrG,"At the office, On the go, At home"
1r2aol,At home
RzB9XJ,At home
rlrZ8R,At home
5dq7BM,At home
5dq7KM,At home
oAVP61,"At home, At a cafe"
1r2ajQ,"At home, On the go"
5dq7bP,"At home, At the office, On the go"
DVv8kp,"At home, On the go"
BGbRPN,"At home, On the go, At a cafe"
YZzABW,At home
zKQ6pq,At home
zKQ9E8,"At home, At the office"
vNxZPX,At home
EPbRzo,"At the office, At home, At a cafe, On the go"
9dJkGG,At home
dY2yyK,"At a cafe, At home"
42N6r5,At home
eBxXOl,"At home, At a cafe, On the go"
7d9krR,At home
PABxD0,"At the office, At home"
24x6qp,At home
ZdR7OA,At home
pLPEBP,At home
YZzA85,"At home, On the go, At a cafe"
AlbgPB,At home
GrBPEL,"At home, At the office, At a cafe"
OABNO7,At home
dY2M0N,"At home, At the office"
oAVP25,At home
VZ1eGE,At home
jB9RlY,At home
6dQBXB,"At home, At a cafe"
rlrZzv,"At home, On the go"
J2kPqY,"At home, At a cafe"
EPbOGB,At home
eBxJ5E,At home
ylqQJ6,"At home, At a cafe, On the go"
QABZ2g,"At the office, At home"
EPbRPl,"At the office, At home"
bl4JPg,"At home, At the office"
vNxZGA,At home
YZz6ZN,At home
0Ej9d0,"At home, At the office, On the go"
AlbgBo,At home
0Ej9BQ,At home
1r2eXO,"At home, At the office"
VZ16WM,"At home, At a cafe"
vNx9oQ,"At a cafe, At home"
GrBGvj,"At home, At the office"
g5Nl9M,"At home, At the office, At a cafe"
qbEl89,At home
9dJkdE,On the go
VZ162v,"At home, At a cafe"
bl4pVe,At home
lNlG7v,"At home, At the office"
aBrM8q,At home
RzBNoP,"At home, At a cafe"
EPbRQ2,"At home, At a cafe"
ZdR7dV,At home
8dpBdl,"At home, On the go"
xdNqrJ,At the office
GrBGlQ,At home
ZdRB40,At home
7d9AW2,"At home, At a cafe"
PABqMQ,"At the office, On the go, At home"
jB9RGa,At a cafe
0Ej9V0,At home
g5Nl5P,"At home, At a cafe, On the go"
